algo,exp_label,req_id,src,dst,sp_hop,chosen_hop,detour,in_path_set,tree_depth,purify_rounds,fidelity,prob,finish_t,outcome
ZFA_routing,tao=0.020000 Round=0,25,24,12,4,4,0,0,2,0|0|2|3,0.801013,0.468268,7,accepted
ZFA_routing,tao=0.020000 Round=0,24,21,13,2,2,0,1,1,0|0,0.892904,0.9,3,accepted
ZFA_routing,tao=0.020000 Round=0,21,17,3,4,4,0,1,2,0|4|4|5,0.811352,0.242843,12,accepted
ZFA_routing,tao=0.020000 Round=0,20,23,16,3,3,0,1,2,0|1|0,0.80428,0.735778,5,accepted
ZFA_routing,tao=0.020000 Round=0,19,12,14,2,2,0,1,1,0|0,0.847696,0.9,3,accepted
ZFA_routing,tao=0.020000 Round=0,18,21,15,3,3,0,1,2,0|0|1,0.805543,0.728293,6,accepted
ZFA_routing,tao=0.020000 Round=0,17,16,19,4,4,0,1,3,4|4|0|0,0.801631,0.357211,12,accepted
ZFA_routing,tao=0.020000 Round=0,16,6,7,4,4,0,1,2,2|1|0|1,0.802314,0.492701,6,accepted
ZFA_routing,tao=0.020000 Round=0,0,5,13,4,4,0,1,3,4|0|0|4,0.810254,0.42135,12,accepted
ZFA_routing,tao=0.020000 Round=0,13,12,21,3,3,0,1,2,0|1|0,0.800168,0.737868,5,accepted
ZFA_routing,tao=0.020000 Round=0,12,27,18,3,3,0,1,2,0|0|1,0.811025,0.748937,5,accepted
ZFA_routing,tao=0.020000 Round=0,10,12,29,3,3,0,1,2,4|0|0,0.824629,0.569881,11,accepted
ZFA_routing,tao=0.020000 Round=0,9,15,21,3,3,0,1,2,4|0|0,0.815988,0.560468,12,accepted
ZFA_routing,tao=0.020000 Round=0,8,10,29,3,3,0,1,2,0|0|1,0.80464,0.735947,5,accepted
ZFA_routing,tao=0.020000 Round=0,7,26,6,3,3,0,1,2,0|0|4,0.809126,0.561043,12,accepted
ZFA_routing,tao=0.020000 Round=0,6,14,29,2,2,0,1,1,0|0,0.851603,0.9,6,accepted
ZFA_routing,tao=0.020000 Round=0,3,18,19,3,3,0,1,2,0|0|0,0.838551,0.81,7,accepted
ZFA_routing,tao=0.020000 Round=0,2,10,23,4,4,0,0,3,0|0|0|4,0.802181,0.501372,12,accepted
ZFA_routing,tao=0.020000 Round=0,1,8,27,3,3,0,1,2,0|0|0,0.819675,0.81,10,accepted
ZFA_routing,tao=0.020000 Round=0,4,8,28,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.020000 Round=0,5,23,2,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.020000 Round=0,11,6,19,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.020000 Round=0,14,17,27,4,NA,NA,NA,NA,NA,NA,NA,NA,no_shape
ZFA_routing,tao=0.020000 Round=0,22,9,15,4,NA,NA,NA,NA,NA,NA,NA,NA,no_shape
ZFA_routing,tao=0.020000 Round=0,23,24,29,4,NA,NA,NA,NA,NA,NA,NA,NA,no_shape
ZFA_routing,tao=0.020000 Round=0,27,0,23,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_skewed,tao=0.020000 Round=0,0,5,13,4,4,0,1,3,1|1|1|1,0.827261,0.518588,6,accepted
